model_code,model_name,capacity_kw,form,list_price,sale_price,monthly_fee,buy_url,sub_url
FQ18FN9HE1,LG 휘센 타워에어컨,7.2,스탠드,5601000,5046000,,https://www.lge.co.kr/air-conditioners/fq18fn9he1,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fn9he1?subscCategoryKeyId=242249
FQ18GN9BA2,LG 휘센 타워에어컨,7.2,스탠드,6049000,5450000,116500,https://www.lge.co.kr/air-conditioners/fq18gn9ba2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn9ba2?subscCategoryKeyId=251272
FQ18GN9HA2,LG 휘센 타워에어컨,7.2,스탠드,6049000,5450000,116500,https://www.lge.co.kr/air-conditioners/fq18gn9ha2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn9ha2?subscCategoryKeyId=251280
FQ18GN9BE2,LG 휘센 타워에어컨,7.2,스탠드,6627000,5970000,125500,https://www.lge.co.kr/air-conditioners/fq18gn9be2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn9be2?subscCategoryKeyId=251276
FQ18GN9HE2,LG 휘센 타워에어컨,7.2,스탠드,6627000,5970000,125500,https://www.lge.co.kr/air-conditioners/fq18gn9he2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn9he2?subscCategoryKeyId=251284
FQ19GU1ED2,LG 휘센 타워에어컨,7.7,스탠드,3186000,2800000,63900,https://www.lge.co.kr/air-conditioners/fq19gu1ed2,https://www.lge.co.kr/care-solutions/air-conditioners/fq19gu1ed2?subscCategoryKeyId=253066
FQ20FC2EA2,LG 휘센 타워에어컨,8.1,스탠드,3389000,2850000,74900,https://www.lge.co.kr/air-conditioners/fq20fc2ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq20fc2ea2?subscCategoryKeyId=245595
FQ20GC2EA2,LG 휘센 타워에어컨,8.1,스탠드,3241000,2920000,76900,https://www.lge.co.kr/air-conditioners/fq20gc2ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq20gc2ea2?subscCategoryKeyId=253060
FQ20FC2EU2,LG 휘센 타워에어컨,8.1,스탠드,3513000,2950000,,https://www.lge.co.kr/air-conditioners/fq20fc2eu2,https://www.lge.co.kr/care-solutions/air-conditioners/fq20fc2eu2?subscCategoryKeyId=246000
FW20HDNBM2,LG 휘센 타워에어컨,8.1,스탠드,4329000,3900000,81900,https://www.lge.co.kr/air-conditioners/fw20hdnbm2,https://www.lge.co.kr/care-solutions/air-conditioners/fw20hdnbm2?subscCategoryKeyId=235652
FQ22GU2EA2,LG 휘센 타워에어컨,8.2,스탠드,3796000,3420000,81900,https://www.lge.co.kr/air-conditioners/fq22gu2ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq22gu2ea2?subscCategoryKeyId=253101
FQ22GV3EA2,LG 휘센 타워에어컨,8.2,스탠드,4351000,3920000,79900,https://www.lge.co.kr/air-conditioners/fq22gv3ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq22gv3ea2?subscCategoryKeyId=252787
FQ22FV6ES2,LG 휘센 타워에어컨,8.2,스탠드,4995000,4500000,,https://www.lge.co.kr/air-conditioners/fq22fv6es2,https://www.lge.co.kr/care-solutions/air-conditioners/fq22fv6es2?subscCategoryKeyId=242283
FQ22GV6EA2,LG 휘센 타워에어컨,8.2,스탠드,5350000,4820000,103500,https://www.lge.co.kr/air-conditioners/fq22gv6ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq22gv6ea2?subscCategoryKeyId=251545
FQ22FN9HE2,LG 휘센 타워에어컨,8.2,스탠드,6827000,6150000,,https://www.lge.co.kr/air-conditioners/fq22fn9he2,https://www.lge.co.kr/care-solutions/air-conditioners/fq22fn9he2?subscCategoryKeyId=242275
FQ22GN9BE2,LG 휘센 타워에어컨,8.2,스탠드,7182000,6470000,134500,https://www.lge.co.kr/air-conditioners/fq22gn9be2,https://www.lge.co.kr/care-solutions/air-conditioners/fq22gn9be2?subscCategoryKeyId=251288
FQ22GN9HE2,LG 휘센 타워에어컨,8.2,스탠드,7182000,6470000,134500,https://www.lge.co.kr/air-conditioners/fq22gn9he2,https://www.lge.co.kr/care-solutions/air-conditioners/fq22gn9he2?subscCategoryKeyId=251292
FQ25FN5BA2,LG 휘센 타워에어컨,9.0,스탠드,5627000,5070000,99500,https://www.lge.co.kr/air-conditioners/fq25fn5ba2,https://www.lge.co.kr/care-solutions/air-conditioners/fq25fn5ba2?subscCategoryKeyId=251547
FQ25FN5HA2,LG 휘센 타워에어컨,9.0,스탠드,5627000,5070000,99500,https://www.lge.co.kr/air-conditioners/fq25fn5ha2,https://www.lge.co.kr/care-solutions/air-conditioners/fq25fn5ha2?subscCategoryKeyId=251549
FQ25FN9HE2,LG 휘센 타워에어컨,9.0,스탠드,7215000,6500000,,https://www.lge.co.kr/air-conditioners/fq25fn9he2,https://www.lge.co.kr/care-solutions/air-conditioners/fq25fn9he2?subscCategoryKeyId=242291
FQ25GN9BE2,LG 휘센 타워에어컨,9.0,스탠드,7570000,6820000,140500,https://www.lge.co.kr/air-conditioners/fq25gn9be2,https://www.lge.co.kr/care-solutions/air-conditioners/fq25gn9be2?subscCategoryKeyId=251296
FQ25GN9HE2,LG 휘센 타워에어컨,9.0,스탠드,7570000,6820000,140500,https://www.lge.co.kr/air-conditioners/fq25gn9he2,https://www.lge.co.kr/care-solutions/air-conditioners/fq25gn9he2?subscCategoryKeyId=251300
